query_id,measure,value,sistema
Q001,MAP,0.0625,TF-IDF
Q001,Bpref,0.0,TF-IDF
Q001,MRR,0.125,TF-IDF
Q001,P@10,0.1,TF-IDF
Q001,nDCG@10,0.11990623328406573,TF-IDF
Q002,MAP,0.1,TF-IDF
Q002,Bpref,0.0,TF-IDF
Q002,MRR,0.2,TF-IDF
Q002,P@10,0.1,TF-IDF
Q002,nDCG@10,0.14704034066641014,TF-IDF
Q003,MAP,0.525952380952381,TF-IDF
Q003,Bpref,0.5199999999999999,TF-IDF
Q003,MRR,0.3333333333333333,TF-IDF
Q003,P@10,0.5,TF-IDF
Q003,nDCG@10,0.5959743565306033,TF-IDF
Q004,MAP,0.3215789473684211,TF-IDF
Q004,Bpref,0.2,TF-IDF
Q004,MRR,1.0,TF-IDF
Q004,P@10,0.2,TF-IDF
Q004,nDCG@10,0.5864224010106703,TF-IDF
Q005,MAP,0.25,TF-IDF
Q005,Bpref,0.0,TF-IDF
Q005,MRR,0.25,TF-IDF
Q005,P@10,0.1,TF-IDF
Q005,nDCG@10,0.43067655807339306,TF-IDF
Q006,MAP,1.0,TF-IDF
Q006,Bpref,1.0,TF-IDF
Q006,MRR,1.0,TF-IDF
Q006,P@10,0.1,TF-IDF
Q006,nDCG@10,1.0,TF-IDF
Q007,MAP,0.3833333333333333,TF-IDF
Q007,Bpref,0.0,TF-IDF
Q007,MRR,0.25,TF-IDF
Q007,P@10,0.3,TF-IDF
Q007,nDCG@10,0.49844278935684555,TF-IDF
Q008,MAP,1.0,TF-IDF
Q008,Bpref,1.0,TF-IDF
Q008,MRR,1.0,TF-IDF
Q008,P@10,0.2,TF-IDF
Q008,nDCG@10,0.8597186998521972,TF-IDF
Q009,MAP,0.5,TF-IDF
Q009,Bpref,0.0,TF-IDF
Q009,MRR,0.5,TF-IDF
Q009,P@10,0.1,TF-IDF
Q009,nDCG@10,0.6309297535714575,TF-IDF
Q010,MAP,0.09999999999999999,TF-IDF
Q010,Bpref,0.0,TF-IDF
Q010,MRR,0.16666666666666666,TF-IDF
Q010,P@10,0.1,TF-IDF
Q010,nDCG@10,0.1137704181007881,TF-IDF
Q011,MAP,0.0,TF-IDF
Q011,Bpref,0.0,TF-IDF
Q011,MRR,0.0,TF-IDF
Q011,P@10,0.0,TF-IDF
Q011,nDCG@10,0.0,TF-IDF
Q012,MAP,1.0,TF-IDF
Q012,Bpref,1.0,TF-IDF
Q012,MRR,1.0,TF-IDF
Q012,P@10,0.1,TF-IDF
Q012,nDCG@10,1.0,TF-IDF
Q013,MAP,1.0,TF-IDF
Q013,Bpref,1.0,TF-IDF
Q013,MRR,1.0,TF-IDF
Q013,P@10,0.2,TF-IDF
