query_id,measure,value,sistema
Q001,MAP,0.05555555555555555,BM25-Lyric
Q001,Bpref,0.0,BM25-Lyric
Q001,MRR,0.1111111111111111,BM25-Lyric
Q001,P@10,0.1,BM25-Lyric
Q001,nDCG@10,0.22883924989280793,BM25-Lyric
Q002,MAP,0.125,BM25-Lyric
Q002,Bpref,0.0,BM25-Lyric
Q002,MRR,0.25,BM25-Lyric
Q002,P@10,0.1,BM25-Lyric
Q002,nDCG@10,0.16369747519436975,BM25-Lyric
Q003,MAP,0.43025641025641026,BM25-Lyric
Q003,Bpref,0.36,BM25-Lyric
Q003,MRR,0.3333333333333333,BM25-Lyric
Q003,P@10,0.3,BM25-Lyric
Q003,nDCG@10,0.4316575456975214,BM25-Lyric
Q004,MAP,0.32285714285714284,BM25-Lyric
Q004,Bpref,0.27999999999999997,BM25-Lyric
Q004,MRR,1.0,BM25-Lyric
Q004,P@10,0.2,BM25-Lyric
Q004,nDCG@10,0.6045023477188619,BM25-Lyric
Q005,MAP,0.5,BM25-Lyric
Q005,Bpref,0.0,BM25-Lyric
Q005,MRR,0.5,BM25-Lyric
Q005,P@10,0.1,BM25-Lyric
Q005,nDCG@10,0.6309297535714575,BM25-Lyric
Q006,MAP,1.0,BM25-Lyric
Q006,Bpref,1.0,BM25-Lyric
Q006,MRR,1.0,BM25-Lyric
Q006,P@10,0.1,BM25-Lyric
Q006,nDCG@10,1.0,BM25-Lyric
Q007,MAP,0.6388888888888888,BM25-Lyric
Q007,Bpref,0.6666666666666666,BM25-Lyric
Q007,MRR,0.5,BM25-Lyric
Q007,P@10,0.3,BM25-Lyric
Q007,nDCG@10,0.7002827395649097,BM25-Lyric
Q008,MAP,1.0,BM25-Lyric
Q008,Bpref,1.0,BM25-Lyric
Q008,MRR,1.0,BM25-Lyric
Q008,P@10,0.2,BM25-Lyric
Q008,nDCG@10,0.8597186998521972,BM25-Lyric
Q009,MAP,1.0,BM25-Lyric
Q009,Bpref,1.0,BM25-Lyric
Q009,MRR,1.0,BM25-Lyric
Q009,P@10,0.1,BM25-Lyric
Q009,nDCG@10,1.0,BM25-Lyric
Q010,MAP,0.17777777777777778,BM25-Lyric
Q010,Bpref,0.11111111111111112,BM25-Lyric
Q010,MRR,0.3333333333333333,BM25-Lyric
Q010,P@10,0.2,BM25-Lyric
Q010,nDCG@10,0.25202252634949734,BM25-Lyric
Q011,MAP,0.03333333333333333,BM25-Lyric
Q011,Bpref,0.0,BM25-Lyric
Q011,MRR,0.06666666666666667,BM25-Lyric
Q011,P@10,0.0,BM25-Lyric
Q011,nDCG@10,0.0,BM25-Lyric
Q012,MAP,1.0,BM25-Lyric
Q012,Bpref,1.0,BM25-Lyric
Q012,MRR,1.0,BM25-Lyric
Q012,P@10,0.1,BM25-Lyric
Q012,nDCG@10,1.0,BM25-Lyric
Q013,MAP,1.0,BM25-Lyric
Q013,Bpref,1.0,BM25-Lyric
