qid,BM25,TF-IDF,Dense,intent,query,media,max_diff,melhor_sys
Q001,0.22883924989280793,0.11990623328406573,0.0,lyric,não sabe o que é sofrer ter que ver você sempre tão linda,0.11624849439229122,0.22883924989280793,BM25
Q002,0.16369747519436975,0.14704034066641014,0.0,lyric,vida loka sofrimento e glória da favela,0.10357927195359329,0.16369747519436975,BM25
Q003,0.4316575456975214,0.5959743565306033,0.19928881659657144,lyric,velha infância tribalistas,0.40897357294156533,0.39668553993403183,TF-IDF
Q004,0.6045023477188619,0.5864224010106703,0.0,lyric,ela quer rolar na minha silverado cowboy,0.39697491624317743,0.6045023477188619,BM25
Q005,0.6309297535714575,0.43067655807339306,0.3333333333333333,lyric,depois de tantos planos de um futuro para nós nos abandonamos,0.46497988165939463,0.2975964202381242,BM25
Q006,1.0,1.0,0.0,lyric,me encontra que espero a tanto tempo em meio à multidão,0.6666666666666666,1.0,BM25
Q007,0.7002827395649097,0.49844278935684555,0.0,lyric,um minuto para o fim do mundo punk rock,0.39957517630725176,0.7002827395649097,BM25
Q008,0.8597186998521972,0.8597186998521972,0.16369747519436975,lyric,louca por ti amor demais na praia nos dois,0.6277116249662548,0.6960212246578275,BM25
Q009,1.0,0.6309297535714575,0.0,lyric,há um vento fresco algo maravilhoso está por vir gospel,0.5436432511904858,1.0,BM25
Q010,0.25202252634949734,0.1137704181007881,0.0,lyric,coração partido não me acostumei dividir você pagode,0.12193098148342847,0.25202252634949734,BM25
Q011,0.0,0.0,0.0,lyric,amor o meu coração pede só pra te amar ficar com você meu anjo,0.0,0.0,BM25
Q012,1.0,1.0,0.0,lyric,cedo ou tarde vamos nos encontrar rock nacional,0.6666666666666666,1.0,BM25
Q013,1.0,1.0,0.7074887171046738,lyric,poderosa olhar de diamante agita o salão funk,0.9024962390348913,0.29251128289532624,BM25
Q014,0.6508780296742857,0.23981246656813146,0.0,lyric,vai e vem não sai de órbita eita vida torta sertanejo,0.2968968320808057,0.6508780296742857,BM25
Q015,1.0,0.3733020777613552,0.0,lyric,mesmo que eu vá correndo sem direção ainda assim vou lutar gospel,0.45776735925378503,1.0,BM25
Q016,0.3607790370815594,0.46722595791227584,0.0,track,Anna Júlia Los Hermanos,0.2760016649979451,0.46722595791227584,TF-IDF
Q017,0.42656723805295954,0.4244890762679227,0.4080157475003957,track,Velha Infância Tribalistas,0.41969068727375936,0.018551490552563832,BM25
Q018,0.23729607578068374,0.1803895185407797,0.09019475927038985,track,Vida Loka Racionais MC's,0.16929345119728445,0.1471013165102939,BM25
Q019,0.18281474195052166,0.20752333876187692,0.15537907391531905,track,Dormi Na Praça Chitãozinho Xororó,0.1819057182092392,0.052144264846557875,TF-IDF
Q020,0.25807905549843924,0.24051935805437294,0.1803895185407797,track,Obrigado por Estragar Tudo Marília Mendonça,0.22632931069786397,0.07768953695765954,BM25
Q021,0.8190065951327495,0.7610351467567569,0.5286633333096088,track,Me Ama Ou Me Larga Simone Mendes,0.7029016917330383,0.29034326182314074,BM25
Q022,0.4982105067707856,0.47933773604889957,0.0,track,Apaguei Pra Todos Ferrugem,0.3258494142732284,0.4982105067707856,BM25
Q023,0.29420263302058774,0.29420263302058774,0.0,track,Dias Atrás CPM 22,0.19613508868039184,0.29420263302058774,BM25
Q024,0.0,0.0,0.30531576591727555,track,Depois Marisa Monte,0.10177192197242518,0.30531576591727555,Dense
Q025,0.3178209882300059,0.2918822719427976,0.19829627760955112,track,Ovelhinha Isadora Pompeo,0.26933317926078487,0.11952471062045475,BM25
Q026,0.227626228959616,0.41292330192811727,0.0,track,Silverado Luan Pereira sertanejo,0.2135165102959111,0.41292330192811727,TF-IDF
Q027,0.0,0.0,0.10861750945625488,track,Insônia Tribo da Periferia rap,0.036205836485418294,0.10861750945625488,Dense
Q028,0.0,0.0,0.07336392209936005,artist,Djavan,0.024454640699786683,0.07336392209936005,Dense
Q029,0.5302442049991305,0.7702043899253147,0.40002324830925196,artist,Racionais MC's rap,0.5668239477445657,0.37018114161606275,TF-IDF
Q030,0.20248323207250624,0.07839826897867533,0.0,artist,Marília Mendonça sertanejo feminejo,0.09362716701706053,0.20248323207250624,BM25
Q031,0.3679212572135327,0.22009176629808017,0.4537425745411855,artist,Chitãozinho e Xororó dupla sertaneja,0.34725186601759944,0.23365080824310533,Dense
Q032,0.8611375561264454,0.8611375561264454,0.7381919257729245,artist,Tribalistas MPB,0.8201556793419384,0.12294563035352091,BM25
Q033,0.0,0.0,0.0,artist,CPM 22 rock nacional,0.0,0.0,BM25
Q034,0.07839826897867533,0.08514311764162098,0.0,artist,Ferrugem pagode,0.054513795540098775,0.08514311764162098,TF-IDF
Q035,0.22009176629808017,0.22009176629808017,0.0,artist,Calcinha Preta forró,0.14672784419872012,0.22009176629808017,BM25
Q036,0.0,0.0,0.23440650992329987,artist,Isadora Pompeo gospel,0.07813550330776663,0.23440650992329987,Dense
Q037,0.06625422345438903,0.06943122193677727,0.08514311764162098,artist,Jorge e Mateus sertanejo,0.07360952101092909,0.018888894187231955,Dense
Q038,1.0,1.0,0.0,genre,forró,0.6666666666666666,1.0,BM25
Q039,1.0,1.0,0.0,genre,bossa nova MPB clássica,0.6666666666666666,1.0,BM25
